*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
KBO,1997 CW29,0,111 km,39.375 AU,0.079,18.982°,188.491°,110.687°,179.651°,?,,,,,,,,,,,,883,14
KBO,1998 VG44,0,111 km,39.382 AU,0.254,3.034°,324.78°,127.99°,2.745°,?,,,,,,,,,,,,884,14
KBO,2014 WQ509,0,162 km,39.39 AU,0.141,9.82°,207.6°,40.78°,224.7°,?,,,,,,,,,,,,885,14
KBO,2003 FB128,0,114 km,39.409 AU,0.256,8.9°,304.4°,209.5°,46°,?,,,,,,,,,,,,886,14
KBO,2014 WG510,0,105 km,39.41 AU,0.217,17.48°,178.6°,167.29°,70.14°,?,,,,,,,,,,,,887,14
KBO,2002 XV93,0,278 km,39.416 AU,0.127,13.281°,163.53°,19.17°,282.08°,?,,,,,,,,,,,,888,14
KBO,2003 UT292,0,103 km,39.42 AU,0.297,17.56°,256.05°,211.07°,346.4°,?,,,,,,,,,,,,889,14
KBO,2003 VS2,0,267 km,39.435 AU,0.076,14.777°,114.317°,302.792°,15.535°,1.4 g/cm3,,,,,,,,,,,,890,14
KBO,2014 KY101,0,116 km,39.439 AU,0.198,9.65°,92.72°,96.30°,50.35°,?,,,,,,,,,,,,891,14
KBO,2014 JP80,0,232 km,39.447 AU,0.076,19.388°,318.883°,146.261°,214.922°,?,,,,,,,,,,,,892,14
KBO,2013 PX74,0,151 km,39.452 AU,0.156,7.843°,126.9°,43.006°,173.8°,?,,,,,,,,,,,,893,14
KBO,2005 GV210,0,91 km,39.468 AU,0.167,11.98°,262.06°,174.7°,108.58°,?,,,,,,,,,,,,894,14
KBO,Lempo,2,136 km,39.47 AU,0.226,8.423°,294.424°,97.02°,8.547°,?,,,,,,,,,,,,895,14
*,☾,Hiisi,126 km,867 km,?,?,,,,?,,,,,,,,,,,,896,14
*,☾,Paha,66 km,"7,411 km",?,?,,,,?,,,,,,,,,,,,897,14
KBO,2010 EL139,0,138 km,39.47 AU,0.07,22.8°,278.1°,53.6°,93.6°,?,,,,,,,,,,,,898,14
KBO,Arawn,0,76 km,39.48 AU,0.121,3.807°,101.89°,144.69°,30.638°,?,,,,,,,,,,,,899,14
KBO,2001 KD77,0,118 km,39.48 AU,0.114,2.254°,88.09°,139.08°,37.09°,?,,,,,,,,,,,,900,14
♇,Pluto,5,"1,188 km",39.482 AU,0.249,17.16°,113.834°,110.299°,14.53°,1.853 g/cm3,,,,,,,,,,,,901,13
*,☾,Charon,606 km,"19,596 km",0,112.783°,,,,1.705 g/cm3,,,,,,,,,,,,902,13
*,☾,Styx,8 km,"42,656 km",0.006,?,,,,?,,,,,,,,,,,,903,13
*,☾,Nix,25 km,"48,694 km",0.002,?,,,,1.031 g/cm3,,,,,,,,,,,,904,13
*,☾,Kerberos,10 km,"57,783 km",0.003,?,,,,?,,,,,,,,,,,,905,13
*,☾,Hydra,26 km,"64,738 km",0.006,?,,,,1.22 g/cm3,,,,,,,,,,,,906,13
KBO,2002 GF32,0,111 km,39.515 AU,0.169,2.781°,54.43°,44.32°,129.9°,?,,,,,,,,,,,,907,14
KBO,2014 SJ404,0,53 km,39.534 AU,0.24,23.519°,309.659°,102.315°,357.925°,?,,,,,,,,,,,,908,14
KBO,2006 HJ123,0,126 km,39.535 AU,0.301,12.433°,101.59°,222.53°,309.05°,?,,,,,,,,,,,,909,14
KBO,2013 CD223,0,158 km,39.55 AU,0.22,5.27°,260.5°,73.66°,176.2°,?,,,,,,,,,,,,910,14
KBO,2006 TP130,0,110 km,39.55 AU,0.271,4.91°,108.44°,8.4°,310.8°,?,,,,,,,,,,,,911,14
KBO,2001 XD255,0,166 km,39.554 AU,0.112,18.09°,108.58°,106.67°,282°,?,,,,,,,,,,,,912,14
KBO,2010 LB136,0,131 km,39.57 AU,0.267,14.07°,159.56°,132°,5.71°,?,,,,,,,,,,,,913,14
KBO,2007 JH43,0,265 km,39.589 AU,0.025,18.129°,4.705°,64.584°,177.14°,?,,,,,,,,,,,,914,14
KBO,2014 JR80,0,238 km,39.59 AU,0.09,15.39°,299.8°,119.14°,243.4°,?,,,,,,,,,,,,915,14
KBO,2000 CK105,0,133 km,39.59 AU,0.227,8.11°,352.1°,326.52°,190°,?,,,,,,,,,,,,916,14
KBO,2013 SP102,0,141 km,39.607 AU,0.146,11.588°,76.48°,146.54°,171.64°,?,,,,,,,,,,,,917,14
KBO,2014 KU101,0,124 km,39.615 AU,0.136,12.385°,101.02°,61.999°,52.901°,?,,,,,,,,,,,,918,14
KBO,2017 OF69,0,263 km,39.631 AU,0.207,13.654°,215.37°,218.53°,251.02°,?,,,,,,,,,,,,919,14
KBO,2013 FD28,0,119 km,39.64 AU,0.171,8.84°,201°,251.17°,93°,?,,,,,,,,,,,,920,14
KBO,2014 WQ510,0,130 km,39.66 AU,0.153,22.81°,17.5°,334.53°,146.1°,?,,,,,,,,,,,,921,14
KBO,Huya,1,233 km,39.694 AU,0.281,15.474°,68.485°,169.42°,8.038°,1.073 g/cm3,,,,,,,,,,,,922,14
*,☾,S/2012 (38628) 1,107 km,"1,740 km",?,?,,,,0.5 g/cm3,,,,,,,,,,,,923,14
KBO,2010 RK190,0,141 km,39.706 AU,0.187,22.8°,214.36°,350.09°,185.14°,?,,,,,,,,,,,,924,14
KBO,2013 HU156,0,184 km,39.72 AU,0.125,20.76°,343.1°,185.17°,62.9°,?,,,,,,,,,,,,925,14
KBO,2004 VZ75,0,116 km,39.726 AU,0.192,4.466°,10.701°,168.605°,290.585°,?,,,,,,,,,,,,926,14
KBO,2011 VJ24,0,154 km,39.747 AU,0.185,9.532°,121.01°,12.912°,343.5°,?,,,,,,,,,,,,927,14
KBO,2003 FF128,0,101 km,39.747 AU,0.218,1.91°,169.49°,91.735°,347.185°,?,,,,,,,,,,,,928,14
KBO,2005 EZ296,0,104 km,39.75 AU,0.156,1.77°,210.8°,24.41°,336.1°,?,,,,,,,,,,,,929,14
KBO,2001 KB77,0,85 km,39.756 AU,0.285,17.49°,52.32°,222.96°,348.02°,?,,,,,,,,,,,,930,14
KBO,2004 EW95,0,146 km,39.783 AU,0.322,29.234°,204.67°,25.704°,359.95°,?,,,,,,,,,,,,931,14
KBO,2010 JK124,0,182 km,39.8 AU,0.041,15.57°,99.61°,109.7°,233.6°,?,,,,,,,,,,,,932,14
KBO,Ixion,0,355 km,39.802 AU,0.246,19.6°,298.314°,71.011°,289.587°,?,,,,,,,,,,,,933,14
KBO,2013 QO95,0,103 km,39.81 AU,0.029,20.61°,317°,83.07°,352°,?,,,,,,,,,,,,934,14
CEN,2013 NL24,0,66 km,39.827 AU,0.38,4.676°,290.579°,2.012°,26.337°,?,,,,,,,,,,,,935,10
KBO,2011 UT410,0,165 km,39.839 AU,0.181,13.472°,106.963°,19.737°,302.772°,?,,,,,,,,,,,,936,14
KBO,2010 VX224,0,121 km,39.84 AU,0.187,15.54°,214.36°,152.74°,295.97°,?,,,,,,,,,,,,937,14
KBO,2000 GP183,0,106 km,39.854 AU,0.076,4.91°,221.7°,23.4°,342.7°,?,,,,,,,,,,,,938,14
CEN,2004 PY117,0,77 km,40.219 AU,0.282,23.369°,153.562°,130.022°,44.177°,?,,,,,,,,,,,,939,10
KBO,2010 RD188,0,139 km,40.23 AU,0.057,27.97°,0.142°,65.103°,305.5°,?,,,,,,,,,,,,940,14
KBO,2017 OG69,0,161 km,40.253 AU,0.077,25.24°,228.8°,140.04°,38.68°,?,,,,,,,,,,,,941,14
KBO,2014 WZ509,0,172 km,40.281 AU,0.092,15.872°,63.423°,251.017°,198.024°,?,,,,,,,,,,,,942,14
KBO,2015 OV79,0,144 km,40.34 AU,0.064,30.372°,315°,117.59°,266°,?,,,,,,,,,,,,943,14
KBO,2012 HL85,0,105 km,40.371 AU,0.023,16.602°,315.51°,47.67°,229.06°,?,,,,,,,,,,,,944,14
KBO,2004 PT107,0,176 km,40.42 AU,0.055,26.18°,20.5°,320°,350.4°,?,,,,,,,,,,,,945,14
KBO,2014 YZ49,0,196 km,40.47 AU,0.023,17.16°,47.5°,130.9°,0.132°,?,,,,,,,,,,,,946,14
KBO,2014 MY69,0,157 km,40.52 AU,0.053,17.43°,205.12°,1.03°,126.7°,?,,,,,,,,,,,,947,14
KBO,2014 WZ535,0,116 km,40.52 AU,0.078,19.68°,48.14°,221.49°,234.61°,?,,,,,,,,,,,,948,14
KBO,2014 VU37,0,217 km,40.555 AU,0.047,28.63°,336°,248.16°,204.1°,?,,,,,,,,,,,,949,14
KBO,2010 PK66,0,182 km,40.65 AU,0.005,13.646°,85.811°,331.635°,266.694°,?,,,,,,,,,,,,950,14
KBO,2014 TF86,0,103 km,40.66 AU,0.867,32.04°,106.89°,65.2°,153.28°,?,,,,,,,,,,,,951,14
KBO,2014 KW101,0,135 km,40.685 AU,0.084,19.333°,50.63°,200.12°,48.58°,?,,,,,,,,,,,,952,14
KBO,2010 WN75,0,159 km,40.69 AU,0.092,28.205°,312.98°,161.68°,337.11°,?,,,,,,,,,,,,953,14
KBO,2010 RN64,0,182 km,40.7 AU,0.083,19.8°,41°,68.5°,269.6°,?,,,,,,,,,,,,954,14
KBO,2010 AH2,0,159 km,40.717 AU,0.049,18°,50.54°,127.635°,320.3°,?,,,,,,,,,,,,955,14
KBO,2014 NY65,0,107 km,40.718 AU,0.082,18.482°,164.087°,257.44°,280.241°,?,,,,,,,,,,,,956,14
KBO,2014 UP224,0,134 km,40.77 AU,0.087,18.388°,349.17°,178.94°,271.8°,?,,,,,,,,,,,,957,14
KBO,2002 PP149,0,112 km,40.79 AU,0.088,34.78°,123.6°,159.16°,64.7°,?,,,,,,,,,,,,958,14
KBO,2011 EZ90,0,103 km,40.86 AU,0.064,27.44°,70.8°,86.89°,12.85°,?,,,,,,,,,,,,959,14
KBO,2008 SP266,0,145 km,40.9 AU,0.12,19.52°,240°,141.29°,355°,?,,,,,,,,,,,,960,14
KBO,2004 KH19,0,102 km,40.92 AU,0.116,35.15°,227.4°,232.93°,135.2°,?,,,,,,,,,,,,961,14
KBO,2014 GX53,0,168 km,40.98 AU,0.144,14°,128.81°,97.14°,353.18°,?,,,,,,,,,,,,962,14
KBO,2012 KU50,0,101 km,41.033 AU,0.246,18.84°,127.45°,66.78°,23.89°,?,,,,,,,,,,,,963,14
KBO,2011 OA60,0,218 km,41.127 AU,0.141,23.08°,140.4°,129.42°,21.5°,?,,,,,,,,,,,,964,14
KBO,2010 RN45,0,145 km,41.137 AU,0.11,32.752°,320.11°,123.34°,293.29°,?,,,,,,,,,,,,965,14
KBO,1997 RT5,0,104 km,41.14 AU,0.03,12.762°,19.2°,163.8°,185.5°,?,,,,,,,,,,,,966,14
KBO,2009 YR26,0,133 km,41.145 AU,0.05,18.68°,288.12°,118.58°,61.026°,?,,,,,,,,,,,,967,14
KBO,2000 KK4,0,144 km,41.22 AU,0.084,19.14°,304.5°,145.89°,164.8°,?,,,,,,,,,,,,968,14
KBO,2005 RQ43,0,123 km,41.23 AU,0.092,20.22°,267.4°,66.26°,66.11°,?,,,,,,,,,,,,969,14
KBO,2014 BD70,0,174 km,41.24 AU,0.134,22.95°,10.026°,276.61°,218.99°,?,,,,,,,,,,,,970,14
KBO,2011 JF31,0,183 km,41.26 AU,0.135,27.812°,249.96°,236.82°,101.69°,?,,,,,,,,,,,,971,14
KBO,2014 WL509,0,138 km,41.266 AU,0.131,15.13°,49.59°,184.27°,281.26°,?,,,,,,,,,,,,972,14
KBO,2015 CL62,0,111 km,41.35 AU,0.135,5.35°,209.12°,335.65°,326.43°,?,,,,,,,,,,,,973,14
KBO,Ritona,0,340 km,41.359 AU,0.019,19.313°,174.88°,186.93°,338.28°,?,,,,,,,,,,,,974,14
KBO,2014 JN80,0,103 km,41.36 AU,0.106,17.73°,157.9°,138.72°,332.12°,?,,,,,,,,,,,,975,14
KBO,2012 DW98,0,134 km,41.382 AU,0.04,18.984°,354.34°,209.73°,356.43°,?,,,,,,,,,,,,976,14
KBO,2014 TY85,0,107 km,41.417 AU,0.213,19.086°,9.888°,42.352°,11.413°,?,,,,,,,,,,,,977,14
KBO,2014 LP28,0,122 km,41.42 AU,0.054,16.04°,136.93°,177.02°,16.3°,?,,,,,,,,,,,,978,14
KBO,1999 CL158,0,106 km,41.44 AU,0.211,10°,327.7°,120.1°,40.1°,?,,,,,,,,,,,,979,14
KBO,2014 GW53,0,167 km,41.5 AU,0.083,21.88°,235.4°,54.86°,294.08°,?,,,,,,,,,,,,980,14
KBO,2010 VR11,0,167 km,41.503 AU,0.15,30.924°,36.398°,86.702°,320.69°,?,,,,,,,,,,,,981,14
KBO,1998 FS144,0,109 km,41.534 AU,0.025,9.893°,193.44°,228.81°,136.25°,?,,,,,,,,,,,,982,14
KBO,2014 WU509,0,138 km,41.548 AU,0.075,19.616°,332.94°,193.29°,285.42°,?,,,,,,,,,,,,983,14
KBO,2011 CX119,0,113 km,41.602 AU,0.146,27.446°,669.21°,323.84°,128.8°,?,,,,,,,,,,,,984,14
KBO,2015 BS518,0,98 km,41.63 AU,0.104,28.63°,205.83°,17.33°,326.6°,?,,,,,,,,,,,,985,14
KBO,2010 TE192,0,113 km,41.65 AU,0.055,21.22°,291°,29.57°,98.1°,?,,,,,,,,,,,,986,14
KBO,2008 AP129,0,243 km,41.67 AU,0.14,27.458°,56.567°,14.757°,57.045°,?,,,,,,,,,,,,987,14
KBO,2014 EA52,0,180 km,41.67 AU,0.103,18.96°,88°,140.5°,339.3°,?,,,,,,,,,,,,988,14
CEN,2003 QZ91,0,67 km,41.671 AU,0.476,34.819°,137.833°,130.875°,44.51°,?,,,,,,,,,,,,989,10
KBO,2013 MA12,0,170 km,41.677 AU,0.062,23.334°,314.83°,114.98°,254.4°,?,,,,,,,,,,,,990,14
KBO,2011 UK413,0,99 km,41.68 AU,0.092,13.611°,88.19°,256.47°,93.4°,?,,,,,,,,,,,,991,14
KBO,2014 YB50,0,140 km,41.7 AU,0.097,28.62°,35°,104.03°,344°,?,,,,,,,,,,,,992,14
KBO,2008 AQ118,0,142 km,41.71 AU,0.148,24.54°,198.8°,312.4°,352.5°,?,,,,,,,,,,,,993,14
KBO,2012 UE185,0,106 km,41.72 AU,0.15,20.48°,242.97°,202.17°,36.92°,?,,,,,,,,,,,,994,14
KBO,Máni,0,398 km,41.739 AU,0.145,17.693°,214.575°,216.075°,226.844°,?,,,,,,,,,,,,995,14
KBO,2015 BQ518,0,146 km,41.74 AU,0.049,16.024°,136°,271.044°,108°,?,,,,,,,,,,,,996,14
KBO,2014 UF241,0,106 km,41.76 AU,0.152,26.65°,18.56°,191.49°,180.1°,?,,,,,,,,,,,,997,14
KBO,2009 MF10,0,108 km,41.788 AU,0.145,26.76°,331.9°,320.1°,20.37°,?,,,,,,,,,,,,998,14
KBO,2006 RC103,0,130 km,41.79 AU,0.14,17.202°,87.1°,310.43°,325.96°,?,,,,,,,,,,,,999,14
KBO,2014 PS70,0,93 km,41.81 AU,0.064,15.141°,327.55°,347.03°,43.7°,?,,,,,,,,,,,,1000,14
KBO,2008 QB43,0,139 km,41.865 AU,0.097,26.31°,75.12°,320.36°,339.7°,?,,,,,,,,,,,,1001,14
CEN,2004 MM10,0,101 km,41.914 AU,0.371,0.963°,133.413°,217.959°,316.951°,?,,,,,,,,,,,,1002,10
CEN,2013 VK46,0,54 km,41.948 AU,0.307,13.566°,179.685°,149.464°,34.778°,?,,,,,,,,,,,,1003,10
CEN,2003 HM57,0,58 km,41.954 AU,0.679,10.783°,294.22°,14.383°,358.645°,?,,,,,,,,,,,,1004,10
KBO,2015 AN281,0,221 km,41.972 AU,0.144,17.45°,226.46°,55.37°,266.05°,?,,,,,,,,,,,,1005,14
KBO,1999 CX131,0,92 km,42.022 AU,0.231,9.76°,111.017°,128°,309.45°,?,,,,,,,,,,,,1006,14
KBO,2010 OO127,0,239 km,42.05 AU,0.132,25.91°,248.1°,219.71°,237.4°,?,,,,,,,,,,,,1007,14
KBO,2008 CS190,0,122 km,42.059 AU,0.165,15.96°,149.79°,326.71°,39.53°,?,,,,,,,,,,,,1008,14
KBO,2015 FN345,0,131 km,42.028 AU,0.098,27.98°,118.925°,172.69°,323.15°,?,,,,,,,,,,,,1009,14
KBO,2014 WN509,0,135 km,42.062 AU,0.052,7.11°,317.4°,276.86°,294.47°,?,,,,,,,,,,,,1010,14
KBO,2014 TA86,0,125 km,42.105 AU,0.103,9.311°,141.1°,219.3°,34.04°,?,,,,,,,,,,,,1011,14
KBO,2014 UO224,0,158 km,42.15 AU,0.111,7.33°,226.08°,253.23°,328.9°,?,,,,,,,,,,,,1012,14
KBO,Goibniu,0,352 km,42.173 AU,0.082,21.972°,293.2°,250.614°,34.603°,?,,,,,,,,,,,,1013,14
KBO,2013 UF15,0,127 km,42.181 AU,0.162,12.385°,8.556°,39.37°,5.333°,?,,,,,,,,,,,,1014,14
KBO,Salacia,1,423 km,42.184 AU,0.106,23.921°,312.294°,279.88°,123.138°,1.38 g/cm3,,,,,,,,,,,,1015,14
*,☾,Actaea,142 km,"5,724 km",0.01,?,,,,?,,,,,,,,,,,,1016,14
KBO,2013 RB98,0,99 km,42.2 AU,0.25,21.96°,350.5°,147.15°,286°,?,,,,,,,,,,,,1017,14
KBO,2010 MQ116,0,179 km,42.21 AU,0.173,30.98°,165.2°,5.23°,232.3°,?,,,,,,,,,,,,1018,14
KBO,2014 OK394,0,110 km,42.252 AU,0.163,4.14°,247.58°,128.384°,30.889°,?,,,,,,,,,,,,1019,14
KBO,2002 GH32,0,108 km,42.253 AU,0.086,26.62°,253.05°,220.62°,113.22°,?,,,,,,,,,,,,1020,14
KBO,2010 TA192,0,114 km,42.28 AU,0.104,17.935°,33.2°,230.15°,128.9°,?,,,,,,,,,,,,1021,14
KBO,2015 FG345,0,213 km,42.4 AU,0.128,36°,221.2°,58.69°,296.6°,?,,,,,,,,,,,,1022,14
KBO,2013 XC26,0,272 km,42.44 AU,0.231,18.65°,146.4°,43.41°,310.89°,?,,,,,,,,,,,,1023,14
KBO,2015 DZ250,0,154 km,42.44 AU,0.145,21.9°,127°,260°,157.6°,?,,,,,,,,,,,,1024,14
KBO,2014 WG509,0,151 km,42.46 AU,0.081,21.38°,178.2°,129.82°,107°,?,,,,,,,,,,,,1025,14
KBO,Uni,1,333 km ,42.488 AU,0.141,19.484°,279°,204.68°,295.71°,?,,,,,,,,,,,,1026,14
*,☾,Tinia,105 km,"4,750 km",0.18,?,,,,?,,,,,,,,,,,,1027,14
KBO,2014 DK143,0,172 km,42.52 AU,0.161,10.86°,338.34°,153.33°,84.7°,?,,,,,,,,,,,,1028,14
KBO,2005 JA175,0,116 km,42.55 AU,0.104,14.24°,196°,225°,166°,?,,,,,,,,,,,,1029,14
KBO,2002 VA131,0,104 km,42.551 AU,0.242,7.1°,253.3°,224.5°,309°,?,,,,,,,,,,,,1030,14
KBO,2014 QZ441,0,129 km,42.578 AU,0.077,6.537°,170.73°,335.07°,251.01°,?,,,,,,,,,,,,1031,14
KBO,Praamzius,0,130 km,42.587 AU,0.01,1.1°,358.38°,314.26°,185.1°,?,,,,,,,,,,,,1032,14
KBO,2012 UB178,0,139 km,42.59 AU,0.115,8.963°,84°,180.52°,147°,?,,,,,,,,,,,,1033,14
KBO,2015 FM345,0,126 km,42.59 AU,0.029,17.11°,50.77°,103.54°,68.88°,?,,,,,,,,,,,,1034,14
KBO,2014 WW509,0,185 km,42.6 AU,0.131,20.38°,170.6°,110.43°,151.92°,?,,,,,,,,,,,,1035,14
KBO,2014 BX64,0,158 km,42.62 AU,0.049,11.19°,71.45°,323.08°,102.46°,?,,,,,,,,,,,,1036,14
KBO,2011 GZ61,0,152 km,42.632 AU,0.11,8.62°,257.156°,284.1°,27.97°,?,,,,,,,,,,,,1037,14
KBO,2014 XS40,0,180 km,42.64 AU,0.169,27.52°,263°,186.7°,28.6°,?,,,,,,,,,,,,1038,14
KBO,2014 ME70,0,102 km,42.663 AU,0.15,7.802°,274.38°,1.118°,34.302°,?,,,,,,,,,,,,1039,14
KBO,2012 TC324,0,95 km,42.67 AU,0.205,9.63°,259.36°,131.748°,9.18°,?,,,,,,,,,,,,1040,14
CEN,2014 JR92,0,73 km,42.682 AU,0.401,28.479°,46.764°,139.543°,37.865°,?,,,,,,,,,,,,1041,10
KBO,2015 BX518,0,175 km,42.712 AU,0.175,28.18°,53.93°,210.04°,289.11°,?,,,,,,,,,,,,1042,14
KBO,Varuna,0,327 km,42.718 AU,0.056,17.221°,262.22°,97.372°,119.121°,?,,,,,,,,,,,,1043,14
KBO,2005 JZ174,0,101 km,42.74 AU,0.076,6.5°,240.6°,59.19°,292.1°,?,,,,,,,,,,,,1044,14
KBO,2014 UE241,0,111 km,42.773 AU,0.123,7.496°,75.016°,60.516°,260.735°,?,,,,,,,,,,,,1045,14
KBO,2001 XR254,1,99 km,42.776 AU,0.037,1.231°,78.868°,180.01°,226.02°,1 g/cm3,,,,,,,,,,,,1046,14
*,☾,S/2007 (524366) 1,70 km,"9,311 km",0.556,?,,,,?,,,,,,,,,,,,1047,14
KBO,2014 TD86,0,114 km,42.778 AU,0.014,1.694°,268.9°,52.7°,158.5°,?,,,,,,,,,,,,1048,14
KBO,2014 BZ57,0,222 km,42.786 AU,0.135,27.011°,263.82°,274.45°,335.89°,?,,,,,,,,,,,,1049,14
KBO,2014 LO28,0,180 km,42.801 AU,0.115,27.6°,108.18°,287.21°,304.4°,?,,,,,,,,,,,,1050,14
KBO,2014 DF143,0,178 km,42.829 AU,0.046,23.681°,73.516°,35.614°,92.056°,?,,,,,,,,,,,,1051,14
KBO,2013 LY35,0,150 km,42.85 AU,0.056,8.72°,13.3°,294.56°,305.9°,?,,,,,,,,,,,,1052,14
KBO,2010 RF64,0,160 km,42.874 AU,0.171,28.7°,211.9°,131.1°,17.1°,?,,,,,,,,,,,,1053,14
KBO,2014 UM33,0,248 km,42.897 AU,0.157,17.403°,269.24°,236.58°,269.23°,?,,,,,,,,,,,,1054,14
KBO,2002 PH149,0,94 km,42.906 AU,0.057,8.882°,212.536°,108.534°,0.056°,?,,,,,,,,,,,,1055,14
KBO,2003 QA112,0,121 km,42.95 AU,0.111,15.95°,186°,0.68°,172.7°,?,,,,,,,,,,,,1056,14
KBO,2014 HU199,0,111 km,43 AU,0.069,8.53°,140.25°,118.29°,314.99°,?,,,,,,,,,,,,1057,14
KBO,2001 UA17,0,86 km,43 AU,0.1,5°,312°,35°,30°,?,,,,,,,,,,,,1058,14
KBO,1999 RN215,0,101 km,43 AU,0.076,12.41°,100.2°,140.7°,142.3°,?,,,,,,,,,,,,1059,14
KBO,2014 XR40,0,223 km,43.014 AU,0.145,24.833°,280.54°,3.138°,286.6°,?,,,,,,,,,,,,1060,14
KBO,2010 VK201,0,247 km,43.019 AU,0.117,28.845°,88.906°,156.4°,170.71°,?,,,,,,,,,,,,1061,14
KBO,2014 FW71,0,151 km,43.037 AU,0.062,13.89°,35.96°,247.65°,282.6°,?,,,,,,,,,,,,1062,14
KBO,2012 CS57,0,121 km,43.05 AU,0.033,17.07°,83.81°,150.57°,277.7°,?,,,,,,,,,,,,1063,14
KBO,2003 OP32,0,116 km,43.05 AU,0.106,27.219°,67.082°,182.93°,71.841°,?,,,,,,,,,,,,1064,14
KBO,2013 UQ15,0,107 km,43.052 AU,0.106,27.25°,16.13°,189.069°,180.31°,?,,,,,,,,,,,,1065,14
KBO,2014 SH349,0,180 km,43.07 AU,0.151,17.32°,95.6°,202.67°,96.7°,?,,,,,,,,,,,,1066,14
KBO,2012 HG84,0,190 km,43.1 AU,0.09,10.87°,26.01°,266.42°,323°,?,,,,,,,,,,,,1067,14
KBO,2014 QA442,0,175 km,43.101 AU,0.182,27.4°,281.28°,109.3°,346.55°,?,,,,,,,,,,,,1068,14
🝻,Haumea,2,780 km,43.116 AU,0.196,28.214°,239.041°,122.167°,218.205°,1.887 g/cm3,,,,,,,,,,,,1069,13
*,☾,Namaka,85 km,"25,657 km",0.249,?,,,,0.65 g/cm3,,,,,,,,,,,,1070,13
*,☾,Hi'iaka,160 km,"49,889 km",0.051,?,,,,0.461 g/cm3,,,,,,,,,,,,1071,13
KBO,2002 TX300,0,145 km,43.116 AU,0.122,25.878°,338.958°,324.698°,73.762°,1 g/cm3,,,,,,,,,,,,1072,14
KBO,2005 RR43,0,119 km,43.163 AU,0.136,28.506°,279.66°,85.852°,43.576°,?,,,,,,,,,,,,1073,14
CEN,2004 MO10,0,66 km,43.174 AU,0.438,7.188°,276.583°,249.461°,52.884°,?,,,,,,,,,,,,1074,10
KBO,2013 RM98,0,174 km,43.18 AU,0.132,28.16°,251.33°,352.44°,98.8°,?,,,,,,,,,,,,1075,14
KBO,2014 WJ509,0,165 km,43.18 AU,0.145,20.92°,93.57°,100.32°,307.44°,?,,,,,,,,,,,,1076,14
KBO,1999 XY143,1,123 km,43.18 AU,0.077,7.15°,82°,144.7°,109°,?,,,,,,,,,,,,1077,14
*,☾,S/2009 (612141) 1,90 km,"2,670 km",?,?,,,,?,,,,,,,,,,,,1078,14
KBO,2014 JJ80,0,174 km,43.182 AU,0.275,18.674°,97.702°,261.43°,342.32°,?,,,,,,,,,,,,1079,14
KBO,2015 AJ281,0,244 km,43.199 AU,0.131,26.805°,8.233°,256.13°,284.586°,?,,,,,,,,,,,,1080,14
KBO,2005 UQ513,0,249 km,43.201 AU,0.15,25.732°,221.89°,307.868°,223.93°,?,,,,,,,,,,,,1081,14
KBO,2006 QU180,0,139 km,43.256 AU,0.006,19.065°,345.057°,331.464°,0.018°,?,,,,,,,,,,,,1082,14
KBO,2013 RF109,0,113 km,43.256 AU,0.073,9.7°,241.99°,144.76°,348.16°,?,,,,,,,,,,,,1083,14
KBO,2014 MG70,0,133 km,43.266 AU,0.051,12.19°,38.8°,325.21°,317.9°,?,,,,,,,,,,,,1084,14
KBO,2001 XU254,0,110 km,43.29 AU,0.074,6.51°,74.43°,114.74°,313°,?,,,,,,,,,,,,1085,14
KBO,2015 AH281,0,167 km,43.337 AU,0.41,9.597°,354.18°,286.1°,199.66°,?,,,,,,,,,,,,1086,14
KBO,2015 BR518,0,99 km,43.371 AU,0.116,9.91°,42.92°,78.9°,51.51°,?,,,,,,,,,,,,1087,14
CEN,2014 GK65,0,87 km,43.4 AU,0.311,19.501°,329.75°,262.08°,350.09°,?,,,,,,,,,,,,1088,10
KBO,2010 TT195,0,143 km,43.4 AU,0.07,15.57°,96.7°,58.33°,276.67°,?,,,,,,,,,,,,1089,14
KBO,2001 HY65,0,121 km,43.4 AU,0.123,17.103°,316.1°,188.128°,49.61°,?,,,,,,,,,,,,1090,14
KBO,2014 HZ199,0,222 km,43.41 AU,0.159,27.83°,85.7°,57.09°,60.43°,?,,,,,,,,,,,,1091,14
KBO,2004 NT33,0,229 km,43.426 AU,0.152,31.231°,37.4°,240.87°,41.709°,?,,,,,,,,,,,,1092,14
KBO,2003 UE292,0,98 km,43.467 AU,0.135,18.511°,169.766°,242.375°,0.053°,?,,,,,,,,,,,,1093,14
KBO,2013 FH28,0,105 km,43.48 AU,0.14,13.05°,293.1°,322.76°,295.4°,?,,,,,,,,,,,,1094,14
KBO,2001 KP76,0,72 km,43.485 AU,0.191,7.2°,304.6°,42.9°,289.3°,?,,,,,,,,,,,,1095,14
KBO,2011 GM27,0,226 km,43.5 AU,0.026,13.028°,194.69°,257.25°,98.325°,?,,,,,,,,,,,,1096,14
KBO,2004 OQ15,0,108 km,43.506 AU,0.122,9.74°,239.09°,110.78°,324.3°,?,,,,,,,,,,,,1097,14
