*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
ASTR,Minerva,2,77 km,2.757 AU,0.14,8.561°,274.543°,4.063°,262.022°,1.9 g/cm3,,,,,,,,,,,,112,6
*,☾,Gorgoneion,2 km,380 km,?,?,,,,?,,,,,,,,,,,,113,6
*,☾,Aegis,2 km,630 km,?,?,,,,?,,,,,,,,,,,,114,6
ASTR,Liguria,0,67 km,2.758 AU,0.237,8.224°,78.566°,354.796°,28.971°,6.1 g/cm3,,,,,,,,,,,,115,6
ASTR,Johanna,0,61 km,2.76 AU,0.067,8.245°,94.611°,31.154°,67.782°,3.75 g/cm3,,,,,,,,,,,,116,6
ASTR,Daphne,1,94 km,2.765 AU,0.272,15.765°,46.239°,178.159°,247.5°,1.865 g/cm3,,,,,,,,,,,,117,6
*,☾,Peneius,1 km,443 km,?,?,,,,?,,,,,,,,,,,,118,6
ASTR,Thisbe,0,109 km,2.768 AU,0.165,5.219°,36.591°,276.765°,165.454°,2.6 g/cm3,,,,,,,,,,,,119,6
ASTR,Laetitia ,0,90 km,2.769 AU,0.114,10.383°,209.56°,157.168°,58.261°,2.47 g/cm3,,,,,,,,,,,,120,6
⚳,Ceres,0,470 km,2.77 AU,0.079,10.591°,72.815°,80.314°,224.095°,2.162 g/cm3,,,,,,,,,,,,121,13
⚴,Pallas,0,256 km,2.77 AU,0.231,34.852°,310.529°,173.166°,346.022°,2.793 g/cm3,,,,,,,,,,,,122,6
ASTR,Gyptis,0,80 km,2.77 AU,0.176,10.278°,154.984°,195.716°,11.885°,5.04 g/cm3,,,,,,,,,,,,123,6
ASTR,Sapientia,0,48 km,2.77 AU,0.163,4.764°,40.058°,134.097°,300.952°,3.374 g/cm3,,,,,,,,,,,,124,6
ASTR,Herculina,0,84 km,2.773 AU,0.176,16.314°,76.097°,107.556°,131.039°,2.958 g/cm3,,,,,,,,,,,,125,6
ASTR,Gratia,0,51 km,2.774 AU,0.108,8.209°,331.822°,99.245°,350.256°,?,,,,,,,,,,,,126,6
ASTR,Lampetia,0,63 km,2.777 AU,0.332,14.879°,90.824°,212.46°,173.245°,?,,,,,,,,,,,,127,6
ASTR,Bellona,0,60 km,2.777 AU,0.151,9.43°,344.461°,144.33°,121.574°,3.95 g/cm3,,,,,,,,,,,,128,6
ASTR,Galatea,0,60 km,2.778 AU,0.24,4.075°,174.519°,197.313°,36.838°,6.66 g/cm3,,,,,,,,,,,,129,6
ASTR,Juewa,0,74 km,2.781 AU,0.176,10.913°,165.566°,1.834°,60.282°,2.158 g/cm3,,,,,,,,,,,,130,6
ASTR,Leto,0,62 km,2.781 AU,0.187,7.972°,304.862°,44.127°,48.72°,3.21 g/cm3,,,,,,,,,,,,131,6
